Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
1170	-1284.98	-1502.569	217.5896	1.207619	0.989303	0.0106973	1.960585
1176	-1278.045	-1495.859	217.814	1.231743	0.985241	0.0147594	1.791133
1182	-1264.191	-1481.926	217.735	1.310673	0.985241	0.0147594	1.791133
1188	-1273.62	-1491.311	217.6914	1.310673	0.994813	0.00518718	1.821306
1194	-1273.52	-1491.156	217.6363	1.310673	0.998532	0.00146792	1.859158
1200	-1252.522	-1470.322	217.8001	1.340775	0.999268	0.000731865	1.724634
1206	-1257.805	-1476.013	218.2075	1.363071	0.999547	0.000453417	1.40855
1212	-1255.704	-1473.531	217.8268	1.465771	0.999386	0.000614327	1.616397
1218	-1267.432	-1485.427	217.9948	1.421931	0.997894	0.00210611	1.525316
1224	-1268.466	-1486.314	217.8486	1.266223	0.998056	0.0019444	1.742904
1230	-1270.418	-1487.836	217.4181	1.266223	0.998266	0.00173435	2.035854
1236	-1272.28	-1489.66	217.38	1.304304	0.997347	0.00265328	2.035854
1242	-1253.076	-1470.346	217.2696	1.180969	0.996293	0.00370696	2.189022
1248	-1254.905	-1471.49	216.5844	1.180969	0.993564	0.00643646	2.621839
1254	-1259.769	-1476.546	216.7775	1.210378	0.993438	0.00656217	2.483458
1260	-1271.25	-1486.991	215.7415	0.9650962	0.971265	0.0287348	3.260146
1266	-1270.276	-1486.546	216.2697	1.116934	0.98188	0.0181202	2.853532
1272	-1269.267	-1486.243	216.9755	0.9906589	0.98188	0.0181202	2.497026
1278	-1264.077	-1481.421	217.3441	1.176176	0.969958	0.0300418	2.143718
1284	-1259.709	-1475.874	216.1658	0.9938345	0.974905	0.025095	2.990481
1290	-1264.098	-1479.28	215.1821	1.025121	0.997162	0.00283766	3.552834
1296	-1253.692	-1469.326	215.6344	0.9654864	0.997521	0.00247889	3.323042
1302	-1251.788	-1468.223	216.4348	0.9487976	0.997124	0.0028763	2.855339
1308	-1259.816	-1476.128	216.3119	0.9874212	0.995183	0.00481745	2.906338
1314	-1261.738	-1477.89	216.1519	1.177545	0.997606	0.00239361	2.888126
1320	-1263.065	-1480.059	216.9942	1.127834	0.992956	0.00704354	2.399086
1326	-1261.312	-1478.023	216.7111	1.127834	0.990762	0.00923799	2.576247
1332	-1264.892	-1481.113	216.221	1.069993	0.994607	0.00539271	2.911367
1338	-1270.58	-1486.632	216.0522	1.086221	0.984513	0.0154871	3.003216
1344	-1276.771	-1494.36	217.5892	1.225939	0.968098	0.031902	1.948538
1350	-1259.954	-1477.35	217.3956	1.292246	0.973537	0.0264633	2.033538
1356	-1258.754	-1475.308	216.5543	1.161115	0.992864	0.00713622	2.652613
